"ant1","ant2","space","weight","duration","weightHH","durationHH"
2,55,1,299,1552.34034514427,121,429.505023241043
2,56,1,205,834.504291296005,100,479.002963066101
2,57,1,510,2273.34097456932,232,1078.16828680038
2,58,1,650,2860.17394161224,251,1022.6711230278
2,59,1,7,6.8332793712616,3,5.49958395957947
2,60,1,32,68.8349013328552,13,12.4995248317719
2,61,1,561,2353.67454409599,230,1018.00620079041
2,62,1,728,3041.518846035,365,1467.17660045624
2,63,1,87,313.835270881653,43,126.49822306633
2,64,1,53,204.000044345856,11,65.8342792987823
2,65,1,601,2739.01119804382,251,882.171445846558
2,66,1,168,424.335930109024,71,189.834021568298
2,67,1,539,2013.33948564529,234,1125.17065262794
2,68,1,288,1135.33335208893,128,631.500575304031
2,69,1,554,3247.17696547508,185,1016.16496896744
2,70,1,18,29.4994802474976,12,24.4999752044678
2,71,1,129,572.675873041153,37,121.336233854294
2,72,1,268,1543.34254574776,78,171.668688297272
2,73,1,154,341.336014509201,81,180.667149066925
2,74,1,124,348.33596944809,50,111.500306367874
2,75,1,529,2166.67502188683,230,819.338217020035
2,76,1,399,1173.0088391304,130,455.171834468842
2,77,1,847,5130.16823792458,322,1735.16169762611
2,78,1,50,107.834156513214,26,72.6661641597748
